,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,forced_exposure_max,n_sample
116,0,19,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
117,0,19,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
118,0,19,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
119,0,19,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
120,1,0,0,BBBBBB,identity,1e-05,0.0769,0.294,0,1,35,35,,29
121,1,0,1,BBBBBB,identity,1e-05,0.0769,0.294,0,1,35,35,,27
122,1,0,2,BBBBBB,identity,1e-05,0.0769,0.294,0,1,35,35,,7
123,1,0,3,BBBBBB,identity,1e-05,0.0769,0.294,0,1,35,35,,9
124,1,0,4,BBBBBB,identity,1e-05,0.0769,0.294,0,1,35,35,,3
125,1,0,5,BBBBBB,identity,1e-05,0.0769,0.294,0,1,35,35,,2
