subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682423946052,4390,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_002_right.png,animate_single_right,animate_single_right,identity,2,1,1,animate,single,right,background
SS1682423946052,3149,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_002_right.png,animate_single_right,animate_single_right,identity,2,2,1,animate,single,right,deviant
SS1682423946052,1997,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_001_right.png,animate_pair_left,animate_pair_right,pose,6,1,2,animate,pair,left,background
SS1682423946052,2960,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_001_right.png,animate_pair_left,animate_pair_right,pose,6,2,2,animate,pair,left,background
SS1682423946052,3025,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_001_right.png,animate_pair_left,animate_pair_right,pose,6,3,2,animate,pair,left,background
SS1682423946052,4484,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_001_right.png,animate_pair_left,animate_pair_right,pose,6,4,2,animate,pair,left,background
SS1682423946052,594,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_001_right.png,animate_pair_left,animate_pair_right,pose,6,5,2,animate,pair,left,background
SS1682423946052,1915,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_001_right.png,animate_pair_left,animate_pair_right,pose,6,6,2,animate,pair,left,deviant
SS1682423946052,3576,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,2,1,3,animate,pair,right,background
SS1682423946052,2533,background_block,media/padded_stims/animate_009_right.png,null,animate_pair_right,null,null,2,2,3,animate,pair,right,background
SS1682423946052,1701,deviant_block,media/padded_stims/inanimate_002_left.png,media/padded_stims/inanimate_008_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,1,4,inanimate,pair,left,background
SS1682423946052,1034,deviant_block,media/padded_stims/inanimate_002_left.png,media/padded_stims/inanimate_008_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,2,4,inanimate,pair,left,background
SS1682423946052,905,deviant_block,media/padded_stims/inanimate_002_left.png,media/padded_stims/inanimate_008_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,3,4,inanimate,pair,left,background
SS1682423946052,1046,deviant_block,media/padded_stims/inanimate_002_left.png,media/padded_stims/inanimate_008_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,4,4,inanimate,pair,left,deviant
SS1682423946052,2896,deviant_block,media/padded_stims/inanimate_011_right.png,media/padded_stims/inanimate_004_right.png,inanimate_single_right,inanimate_single_right,identity,4,1,5,inanimate,single,right,background
SS1682423946052,727,deviant_block,media/padded_stims/inanimate_011_right.png,media/padded_stims/inanimate_004_right.png,inanimate_single_right,inanimate_single_right,identity,4,2,5,inanimate,single,right,background
SS1682423946052,838,deviant_block,media/padded_stims/inanimate_011_right.png,media/padded_stims/inanimate_004_right.png,inanimate_single_right,inanimate_single_right,identity,4,3,5,inanimate,single,right,background
SS1682423946052,895,deviant_block,media/padded_stims/inanimate_011_right.png,media/padded_stims/inanimate_004_right.png,inanimate_single_right,inanimate_single_right,identity,4,4,5,inanimate,single,right,deviant
SS1682423946052,1771,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_pair_left,null,null,2,1,6,inanimate,pair,left,background
SS1682423946052,598,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_pair_left,null,null,2,2,6,inanimate,pair,left,background
SS1682423946052,1984,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,1,7,animate,single,right,background
SS1682423946052,631,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,2,7,animate,single,right,background
SS1682423946052,667,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,3,7,animate,single,right,background
SS1682423946052,707,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,4,7,animate,single,right,background
SS1682423946052,4520,deviant_block,media/padded_stims/animate_003_left.png,media/padded_stims/animate_010_left.png,animate_single_left,animate_pair_left,number,4,1,8,animate,single,left,background
SS1682423946052,2243,deviant_block,media/padded_stims/animate_003_left.png,media/padded_stims/animate_010_left.png,animate_single_left,animate_pair_left,number,4,2,8,animate,single,left,background
SS1682423946052,647,deviant_block,media/padded_stims/animate_003_left.png,media/padded_stims/animate_010_left.png,animate_single_left,animate_pair_left,number,4,3,8,animate,single,left,background
SS1682423946052,2429,deviant_block,media/padded_stims/animate_003_left.png,media/padded_stims/animate_010_left.png,animate_single_left,animate_pair_left,number,4,4,8,animate,single,left,deviant
SS1682423946052,5221,background_block,media/padded_stims/inanimate_010_left.png,null,inanimate_single_left,null,null,4,1,9,inanimate,single,left,background
SS1682423946052,945,background_block,media/padded_stims/inanimate_010_left.png,null,inanimate_single_left,null,null,4,2,9,inanimate,single,left,background
SS1682423946052,1042,background_block,media/padded_stims/inanimate_010_left.png,null,inanimate_single_left,null,null,4,3,9,inanimate,single,left,background
SS1682423946052,726,background_block,media/padded_stims/inanimate_010_left.png,null,inanimate_single_left,null,null,4,4,9,inanimate,single,left,background
SS1682423946052,5598,deviant_block,media/padded_stims/inanimate_012_left.png,media/padded_stims/inanimate_004_left.png,inanimate_single_left,inanimate_single_left,identity,2,1,10,inanimate,single,left,background
SS1682423946052,654,deviant_block,media/padded_stims/inanimate_012_left.png,media/padded_stims/inanimate_004_left.png,inanimate_single_left,inanimate_single_left,identity,2,2,10,inanimate,single,left,deviant
SS1682423946052,5667,background_block,media/padded_stims/animate_012_left.png,null,animate_single_left,null,null,6,1,11,animate,single,left,background
SS1682423946052,715,background_block,media/padded_stims/animate_012_left.png,null,animate_single_left,null,null,6,2,11,animate,single,left,background
SS1682423946052,816,background_block,media/padded_stims/animate_012_left.png,null,animate_single_left,null,null,6,3,11,animate,single,left,background
SS1682423946052,766,background_block,media/padded_stims/animate_012_left.png,null,animate_single_left,null,null,6,4,11,animate,single,left,background
SS1682423946052,868,background_block,media/padded_stims/animate_012_left.png,null,animate_single_left,null,null,6,5,11,animate,single,left,background
SS1682423946052,814,background_block,media/padded_stims/animate_012_left.png,null,animate_single_left,null,null,6,6,11,animate,single,left,background
SS1682423946052,8594,background_block,media/padded_stims/inanimate_005_right.png,null,inanimate_single_right,null,null,6,1,12,inanimate,single,right,background
SS1682423946052,969,background_block,media/padded_stims/inanimate_005_right.png,null,inanimate_single_right,null,null,6,2,12,inanimate,single,right,background
SS1682423946052,883,background_block,media/padded_stims/inanimate_005_right.png,null,inanimate_single_right,null,null,6,3,12,inanimate,single,right,background
SS1682423946052,770,background_block,media/padded_stims/inanimate_005_right.png,null,inanimate_single_right,null,null,6,4,12,inanimate,single,right,background
SS1682423946052,891,background_block,media/padded_stims/inanimate_005_right.png,null,inanimate_single_right,null,null,6,5,12,inanimate,single,right,background
SS1682423946052,945,background_block,media/padded_stims/inanimate_005_right.png,null,inanimate_single_right,null,null,6,6,12,inanimate,single,right,background
SS1682423946052,8354,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_012_right.png,animate_pair_right,animate_single_right,number,6,1,13,animate,pair,right,background
SS1682423946052,954,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_012_right.png,animate_pair_right,animate_single_right,number,6,2,13,animate,pair,right,background
SS1682423946052,843,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_012_right.png,animate_pair_right,animate_single_right,number,6,3,13,animate,pair,right,background
SS1682423946052,821,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_012_right.png,animate_pair_right,animate_single_right,number,6,4,13,animate,pair,right,background
SS1682423946052,788,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_012_right.png,animate_pair_right,animate_single_right,number,6,5,13,animate,pair,right,background
SS1682423946052,1117,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_012_right.png,animate_pair_right,animate_single_right,number,6,6,13,animate,pair,right,deviant
SS1682423946052,8889,background_block,media/padded_stims/animate_005_left.png,null,animate_pair_left,null,null,2,1,14,animate,pair,left,background
SS1682423946052,873,background_block,media/padded_stims/animate_005_left.png,null,animate_pair_left,null,null,2,2,14,animate,pair,left,background
SS1682423946052,5750,deviant_block,media/padded_stims/inanimate_007_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,1,15,inanimate,pair,right,background
SS1682423946052,902,deviant_block,media/padded_stims/inanimate_007_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,2,15,inanimate,pair,right,background
SS1682423946052,1056,deviant_block,media/padded_stims/inanimate_007_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,3,15,inanimate,pair,right,background
SS1682423946052,1157,deviant_block,media/padded_stims/inanimate_007_right.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,4,15,inanimate,pair,right,deviant
SS1682423946052,5546,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,1,16,inanimate,pair,right,background
SS1682423946052,1242,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,2,16,inanimate,pair,right,background
SS1682423946052,1405,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,3,16,inanimate,pair,right,background
SS1682423946052,1524,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,4,16,inanimate,pair,right,background
SS1682424215882,2640,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,1,1,inanimate,pair,right,background
SS1682424215882,3346,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,2,1,inanimate,pair,right,background
SS1682424215882,2858,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,3,1,inanimate,pair,right,background
SS1682424215882,1385,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,4,1,inanimate,pair,right,background
SS1682424215882,2764,deviant_block,media/padded_stims/animate_006_left.png,media/padded_stims/inanimate_002_left.png,animate_single_left,inanimate_single_left,animacy,2,1,2,animate,single,left,background
SS1682424215882,3357,deviant_block,media/padded_stims/animate_006_left.png,media/padded_stims/inanimate_002_left.png,animate_single_left,inanimate_single_left,animacy,2,2,2,animate,single,left,deviant
SS1682424215882,2379,background_block,media/padded_stims/animate_002_left.png,null,animate_pair_left,null,null,6,1,3,animate,pair,left,background
SS1682424215882,1832,background_block,media/padded_stims/animate_002_left.png,null,animate_pair_left,null,null,6,2,3,animate,pair,left,background
SS1682424215882,1342,background_block,media/padded_stims/animate_002_left.png,null,animate_pair_left,null,null,6,3,3,animate,pair,left,background
SS1682424215882,873,background_block,media/padded_stims/animate_002_left.png,null,animate_pair_left,null,null,6,4,3,animate,pair,left,background
SS1682424215882,1659,background_block,media/padded_stims/animate_002_left.png,null,animate_pair_left,null,null,6,5,3,animate,pair,left,background
SS1682424215882,848,background_block,media/padded_stims/animate_002_left.png,null,animate_pair_left,null,null,6,6,3,animate,pair,left,background
SS1682424215882,1758,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,1,4,animate,pair,right,background
SS1682424215882,595,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,2,4,animate,pair,right,background
SS1682424215882,534,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,3,4,animate,pair,right,background
SS1682424215882,562,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,4,4,animate,pair,right,background
SS1682424215882,1370,background_block,media/padded_stims/inanimate_007_right.png,null,inanimate_single_right,null,null,2,1,5,inanimate,single,right,background
SS1682424215882,1061,background_block,media/padded_stims/inanimate_007_right.png,null,inanimate_single_right,null,null,2,2,5,inanimate,single,right,background
