stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,batch_id,stim_sequence
60,5,5,212,22,0,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,3,BBBDBB
22,0,0,16,46,0,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,6,BBBDBB
72,30,4,4,84,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,17,BDBBBB
19,4,4,1,3,3,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,7,BBBDBB
74,6,3,109,254,1,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,4,BBBDBB
29,5,3,2,2,2,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,18,BDBBBB
115,3,3,0,2,2,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,8,BBBDBB
25,2,2,0,2,2,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,5,BBBDBB
75,9,7,74,2,2,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,9,BBBDBB
104,11,1,1,1,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,19,BDBBBB
60,5,4,83,1,170,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,6,BBBDBB
23,4,3,1,3,3,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,0,BBBDBB
80,22,16,72,1,1,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,10,BBBDBB
72,16,12,8,0,0,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,7,BBBDBB
34,6,5,3,3,3,-1.3003376250792011,1.8797856206100447,-1.0,1.0,1.0,1.0,1e-06,1,BBBDBB
31,5,4,0,4,4,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,8,BBBDBB
36,2,2,1,0,0,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,11,BBBDBB
98,1,0,61,1,1,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,9,BBBDBB
