trialNum, NumAssessments, target, IG, noisyStudents, scoreAboveBaseline
2,1,0.9,2576.076277173077,noisy,0
2,2,0.9,2576.076277173077,true,0
2,2,0.9,2576.076277173077,noisy,0
2,3,0.9,2576.076277173077,true,0
2,3,0.9,2576.076277173077,noisy,0
2,4,0.9,2576.076277173077,true,0
2,4,0.9,2576.076277173077,noisy,0
3,0,0.5,2382.299757856173,true,0
3,0,0.5,2358.853311513773,noisy,0
3,1,0.5,2382.299757856173,true,0
3,1,0.5,2365.8204259082736,noisy,0
3,2,0.5,2382.299757856173,true,0
3,2,0.5,2374.1979264219503,noisy,0
3,3,0.5,2382.299757856173,true,0
3,3,0.5,2374.7732905668536,noisy,0
3,4,0.5,2382.299757856173,true,0
3,4,0.5,2378.5462660719822,noisy,0
3,0,0.6,2404.0340378964684,true,0
3,0,0.6,2387.29497645824,noisy,0
3,1,0.6,2404.0340378964684,true,0
3,1,0.6,2388.69145911137,noisy,0
3,2,0.6,2404.0340378964684,true,0
3,2,0.6,2389.431090387019,noisy,0
3,3,0.6,2404.0340378964684,true,0
3,3,0.6,2396.5803360086443,noisy,0
3,4,0.6,2404.0340378964684,true,0
3,4,0.6,2400.1058499541873,noisy,0
3,0,0.7,2445.84085490396,true,0
3,0,0.7,2436.505832148292,noisy,0
3,1,0.7,2445.84085490396,true,0
3,1,0.7,2435.484417615165,noisy,0
3,2,0.7,2445.84085490396,true,0
3,2,0.7,2439.4789976472334,noisy,0
3,3,0.7,2445.84085490396,true,0
3,3,0.7,2439.2828966659754,noisy,0
3,4,0.7,2445.84085490396,true,0
3,4,0.7,2441.947575665773,noisy,0
3,0,0.8,2501.2576428974335,true,0
3,0,0.8,2496.5836081921825,noisy,0
3,1,0.8,2501.2576428974335,true,0
3,1,0.8,2499.315611634307,noisy,0
