subject,trial_number,trial_type,stimuli_sequence,complexity,trial_looking_time
SS1630952373372,2,background,BBBBBD,complex,5354.099999997765
SS1630952373372,3,background,BBBBBD,complex,3793.5
SS1630952373372,4,background,BBBBBD,complex,2437.699999999255
SS1630952373372,5,background,BBBBBD,complex,1270
SS1630952373372,6,deviant,BBBBBD,complex,8884.39999999851
SS1630952373372,1,background,BDBBBB,complex,14116.599999997765
SS1630952373372,2,deviant,BDBBBB,complex,5691
SS1630952373372,3,background,BDBBBB,complex,5113.79999999702
SS1630952373372,4,background,BDBBBB,complex,2905.5
SS1630952373372,5,background,BDBBBB,complex,1717.10000000149
SS1630952373372,6,background,BDBBBB,complex,1866.199999999255
SS1630952373372,1,background,BBBBBB,simple,3742.10000000149
SS1630952373372,2,background,BBBBBB,simple,3608.800000000745
SS1630952373372,3,background,BBBBBB,simple,3949.900000002235
SS1630952373372,4,background,BBBBBB,simple,4266.39999999851
SS1630952373372,5,background,BBBBBB,simple,6305.89999999851
SS1630952373372,6,background,BBBBBB,simple,1736.5999999977648
SS1630952373372,1,background,BBBDBB,complex,3723.900000002235
SS1630952373372,2,background,BBBDBB,complex,2779.39999999851
SS1630952373372,3,background,BBBDBB,complex,1760.89999999851
SS1630952373372,4,deviant,BBBDBB,complex,4666.10000000149
SS1630952373372,5,background,BBBDBB,complex,3122.699999999255
SS1630952373372,6,background,BBBDBB,complex,1035.0999999977648
SS1630952373372,1,background,BBBBBB,complex,6043.699999999255
SS1630952373372,2,background,BBBBBB,complex,2716.400000002235
SS1630952373372,3,background,BBBBBB,complex,1180.4000000022352
SS1630952373372,4,background,BBBBBB,complex,583.8000000007451
SS1630952373372,5,background,BBBBBB,complex,4068.5
SS1630952373372,6,background,BBBBBB,complex,3649.699999999255
SS1630952373372,1,background,BBBBBD,simple,7507.5
SS1630952373372,2,background,BBBBBD,simple,2938.10000000149
SS1630952373372,3,background,BBBBBD,simple,4571.199999999255
SS1630952373372,4,background,BBBBBD,simple,2487.599999997765
SS1630952373372,5,background,BBBBBD,simple,2777.5
SS1630952373372,6,deviant,BBBBBD,simple,3745.800000000745
SS1630952373372,1,background,BBBDBB,simple,4455
SS1630952373372,2,background,BBBDBB,simple,2481.800000000745
SS1630952373372,3,background,BBBDBB,simple,4429.70000000298
SS1630952373372,4,deviant,BBBDBB,simple,2935.60000000149
SS1630952373372,5,background,BBBDBB,simple,4953.10000000149
SS1630952373372,6,background,BBBDBB,simple,4895.599999997765
SS1630952470116,1,background,BBBDBB,complex,8163.600000008941
SS1630952470116,2,background,BBBDBB,complex,6860.9000000059605
SS1630952470116,3,background,BBBDBB,complex,3583.4000000059605
SS1630952470116,4,deviant,BBBDBB,complex,7081.5999999940395
SS1630952470116,5,background,BBBDBB,complex,6544.20000000298
SS1630952470116,6,background,BBBDBB,complex,2440.0999999940395
SS1630952470116,1,background,BBBBBD,simple,4609.29999999702
SS1630952470116,2,background,BBBBBD,simple,2040.20000000298
SS1630952470116,3,background,BBBBBD,simple,2458
SS1630952470116,4,background,BBBBBD,simple,1425.5999999940395
SS1630952470116,5,background,BBBBBD,simple,1764.7999999970198
SS1630952470116,6,deviant,BBBBBD,simple,2707.6000000089407
SS1630952470116,1,background,BBBDBB,simple,4354.100000008941
SS1630952470116,2,background,BBBDBB,simple,2786.3999999910593
SS1630952470116,3,background,BBBDBB,simple,1665.0999999940395
SS1630952470116,4,deviant,BBBDBB,simple,2558.20000000298
SS1630952470116,5,background,BBBDBB,simple,1852.1000000089407
SS1630952470116,6,background,BBBDBB,simple,884.3999999910593
SS1630952470116,1,background,BBBBBB,complex,3592.5999999940395
SS1630952470116,2,background,BBBBBB,complex,2779
SS1630952470116,3,background,BBBBBB,complex,2029.29999999702
SS1630952470116,4,background,BBBBBB,complex,903.2000000029802
SS1630952470116,5,background,BBBBBB,complex,1267.5999999940395
SS1630952470116,6,background,BBBBBB,complex,1013.6000000089408
SS1630952470116,1,background,BDBBBB,complex,2727
SS1630952470116,2,deviant,BDBBBB,complex,3138.8999999910593
SS1630952470116,3,background,BDBBBB,complex,2657.9000000059605
SS1630952470116,4,background,BDBBBB,complex,1812.4000000059605
SS1630952470116,5,background,BDBBBB,complex,2743.20000000298
SS1630952470116,6,background,BDBBBB,complex,1089.5
SS1630952470116,1,background,BBBBBD,complex,3501.5
SS1630952470116,2,background,BBBBBD,complex,1041.7999999970198
SS1630952470116,3,background,BBBBBD,complex,969.2999999970198
SS1630952470116,4,background,BBBBBD,complex,935.2999999970198
SS1630952470116,5,background,BBBBBD,complex,1286.4000000059605
SS1630952470116,6,deviant,BBBBBD,complex,4916.800000011921
SS1630952470116,1,background,BBBBBB,simple,1135.2000000029802
SS1630952470116,2,background,BBBBBB,simple,561.1999999880791
SS1630952470116,3,background,BBBBBB,simple,1380.2999999970198
SS1630952470116,4,background,BBBBBB,simple,515.7999999970198
SS1630952470116,5,background,BBBBBB,simple,1042.9000000059605
SS1630952470116,6,background,BBBBBB,simple,786.7999999970198
SS1630952470116,1,background,BDBBBB,simple,1358.9000000059605
SS1630952470116,2,deviant,BDBBBB,simple,862.5
SS1630952470116,3,background,BDBBBB,simple,1683.0999999940395
SS1630952470116,4,background,BDBBBB,simple,2052.9000000059605
SS1630952470116,5,background,BDBBBB,simple,625.2000000029802
SS1630952470116,6,background,BDBBBB,simple,603.6000000089407
SS1630953310665,1,background,BBBBBB,complex,6953.2000007629395
SS1630953310665,2,background,BBBBBB,complex,4982.5
SS1630953310665,3,background,BBBBBB,complex,7159.5
SS1630953310665,4,background,BBBBBB,complex,4639.5
SS1630953310665,5,background,BBBBBB,complex,5169
SS1630953310665,6,background,BBBBBB,complex,6215.900001525879
SS1630953310665,1,background,BBBBBD,simple,3504.7000007629395
SS1630953310665,2,background,BBBBBD,simple,5161.7000007629395
SS1630953310665,3,background,BBBBBD,simple,22905
SS1630953310665,4,background,BBBBBD,simple,5600.2000007629395
SS1630953310665,5,background,BBBBBD,simple,2423.400001525879
SS1630953310665,6,deviant,BBBBBD,simple,4310
SS1630953310665,1,background,BDBBBB,simple,2999.599998474121
SS1630953310665,2,deviant,BDBBBB,simple,3187.6000022888184
SS1630953310665,3,background,BDBBBB,simple,3228.599998474121
SS1630953310665,4,background,BDBBBB,simple,3087.400001525879
SS1630953310665,5,background,BDBBBB,simple,4514.799999237061
SS1630953310665,6,background,BDBBBB,simple,2661.900001525879
SS1630953310665,1,background,BBBBBB,simple,5459.900001525879
SS1630953310665,2,background,BBBBBB,simple,2529.2999992370605
SS1630953310665,3,background,BBBBBB,simple,2107
SS1630953310665,4,background,BBBBBB,simple,2096.8999977111816
SS1630953310665,5,background,BBBBBB,simple,4013
SS1630953310665,6,background,BBBBBB,simple,2790.2000007629395
SS1630953310665,1,background,BBBBBD,complex,3609.6000022888184
SS1630953310665,2,background,BBBBBD,complex,2294.300003051758
SS1630953310665,3,background,BBBBBD,complex,1789.5
SS1630953310665,4,background,BBBBBD,complex,1782.1999969482422
SS1630953310665,5,background,BBBBBD,complex,2160.900001525879
SS1630953310665,6,deviant,BBBBBD,complex,1646.900001525879
SS1630953310665,1,background,BDBBBB,complex,5322.899997711182
SS1630953310665,2,deviant,BDBBBB,complex,908.9000015258788
SS1630953310665,3,background,BDBBBB,complex,929.3999977111816
SS1630953310665,4,background,BDBBBB,complex,1161.7999992370603
SS1630953310665,5,background,BDBBBB,complex,1052.5
SS1630953310665,6,background,BDBBBB,complex,582.6000022888184
SS1630953310665,1,background,BBBDBB,complex,2891.2000007629395
SS1630953310665,2,background,BBBDBB,complex,1595.3999977111816
SS1630953310665,3,background,BBBDBB,complex,1740.6000022888184
SS1630953310665,4,deviant,BBBDBB,complex,4707.299999237061
SS1630953310665,5,background,BBBDBB,complex,2434.1000022888184
SS1630953310665,6,background,BBBDBB,complex,5379.299999237061
SS1630953310665,1,background,BBBDBB,simple,1089.7999992370603
SS1630953310665,2,background,BBBDBB,simple,1254.2000007629397
SS1630953310665,3,background,BBBDBB,simple,1183.7000007629397
SS1630953310665,4,deviant,BBBDBB,simple,751.5
SS1630953310665,5,background,BBBDBB,simple,783.2000007629395
SS1630953310665,6,background,BBBDBB,simple,3612.200000762939
SS1630953471980,1,background,BBBDBB,simple,9729.800000190737
SS1630953471980,2,background,BBBDBB,simple,6163.5
SS1630953471980,3,background,BBBDBB,simple,13516.099999904633
SS1630953471980,4,deviant,BBBDBB,simple,14234.89999961853
SS1630953471980,5,background,BBBDBB,simple,8726.699999809265
SS1630953471980,6,background,BBBDBB,simple,12689
SS1630953471980,1,background,BBBBBB,simple,14752.400000095367
SS1630953471980,2,background,BBBBBB,simple,5408.700000286102
SS1630953471980,3,background,BBBBBB,simple,3809.099999904633
SS1630953471980,4,background,BBBBBB,simple,6205.099999904633
SS1630953471980,5,background,BBBBBB,simple,4686.39999961853
SS1630953471980,6,background,BBBBBB,simple,9810.39999961853
SS1630953471980,1,background,BBBBBD,complex,23487.199999809265
SS1630953471980,2,background,BBBBBD,complex,4050
SS1630953471980,3,background,BBBBBD,complex,10704.800000190737
SS1630953471980,4,background,BBBBBD,complex,6716.5
SS1630953471980,5,background,BBBBBD,complex,26990.700000286102
SS1630953471980,6,deviant,BBBBBD,complex,4112.199999809265
SS1630953471980,1,background,BBBBBB,complex,38168.90000009537
SS1630953471980,2,background,BBBBBB,complex,9645.900000095367
SS1630953471980,3,background,BBBBBB,complex,4108.5
SS1630953471980,4,background,BBBBBB,complex,3713
SS1630953471980,5,background,BBBBBB,complex,6255.599999904633
SS1630953471980,6,background,BBBBBB,complex,37323.5
