subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682398101141,1851,deviant_block,media/padded_stims/animate_003_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,4,14,animate,single,right,deviant
SS1682398101141,1519,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_011_right.png,animate_pair_right,animate_pair_right,identity,2,1,15,animate,pair,right,background
SS1682398101141,2029,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_011_right.png,animate_pair_right,animate_pair_right,identity,2,2,15,animate,pair,right,deviant
SS1682398101141,2974,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_009_right.png,animate_single_left,animate_single_right,pose,4,1,16,animate,single,left,background
SS1682398101141,1639,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_009_right.png,animate_single_left,animate_single_right,pose,4,2,16,animate,single,left,background
SS1682398101141,1152,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_009_right.png,animate_single_left,animate_single_right,pose,4,3,16,animate,single,left,background
SS1682398101141,1271,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_009_right.png,animate_single_left,animate_single_right,pose,4,4,16,animate,single,left,deviant
SS1682398102127,4625,background_block,media/padded_stims/animate_002_right.png,null,animate_single_right,null,null,6,1,1,animate,single,right,background
SS1682398102127,5742,background_block,media/padded_stims/animate_002_right.png,null,animate_single_right,null,null,6,2,1,animate,single,right,background
SS1682398102127,3063,background_block,media/padded_stims/animate_002_right.png,null,animate_single_right,null,null,6,3,1,animate,single,right,background
SS1682398102127,3077,background_block,media/padded_stims/animate_002_right.png,null,animate_single_right,null,null,6,4,1,animate,single,right,background
SS1682398102127,3156,background_block,media/padded_stims/animate_002_right.png,null,animate_single_right,null,null,6,5,1,animate,single,right,background
SS1682398102127,3962,background_block,media/padded_stims/animate_002_right.png,null,animate_single_right,null,null,6,6,1,animate,single,right,background
SS1682398102127,3600,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,1,2,animate,single,left,background
SS1682398102127,3624,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,2,2,animate,single,left,background
SS1682398102127,4427,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,3,2,animate,single,left,background
SS1682398102127,5116,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,4,2,animate,single,left,background
SS1682398102127,4930,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,5,2,animate,single,left,background
SS1682398102127,6193,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,6,2,animate,single,left,background
SS1682398102127,3156,background_block,media/padded_stims/inanimate_001_right.png,null,inanimate_single_right,null,null,2,1,3,inanimate,single,right,background
SS1682398102127,3382,background_block,media/padded_stims/inanimate_001_right.png,null,inanimate_single_right,null,null,2,2,3,inanimate,single,right,background
SS1682398102127,4214,background_block,media/padded_stims/animate_001_right.png,null,animate_pair_right,null,null,2,1,4,animate,pair,right,background
SS1682398102127,4643,background_block,media/padded_stims/animate_001_right.png,null,animate_pair_right,null,null,2,2,4,animate,pair,right,background
SS1682398102127,4228,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_008_right.png,animate_single_left,animate_single_right,pose,4,1,5,animate,single,left,background
SS1682398102127,4063,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_008_right.png,animate_single_left,animate_single_right,pose,4,2,5,animate,single,left,background
SS1682398102127,4988,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_008_right.png,animate_single_left,animate_single_right,pose,4,3,5,animate,single,left,background
SS1682398102127,3288,deviant_block,media/padded_stims/animate_007_left.png,media/padded_stims/animate_008_right.png,animate_single_left,animate_single_right,pose,4,4,5,animate,single,left,deviant
SS1682398102127,3317,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,6,1,6,inanimate,pair,left,background
SS1682398102127,3372,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,6,2,6,inanimate,pair,left,background
SS1682398102127,2616,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,6,3,6,inanimate,pair,left,background
SS1682398102127,2817,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,6,4,6,inanimate,pair,left,background
SS1682398102127,2687,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,6,5,6,inanimate,pair,left,background
SS1682398102127,4153,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,6,6,6,inanimate,pair,left,background
SS1682398102127,3903,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_007_right.png,animate_pair_left,animate_pair_right,pose,2,1,7,animate,pair,left,background
SS1682398102127,3486,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_007_right.png,animate_pair_left,animate_pair_right,pose,2,2,7,animate,pair,left,deviant
SS1682398102127,4131,background_block,media/padded_stims/inanimate_002_left.png,null,inanimate_single_left,null,null,4,1,8,inanimate,single,left,background
SS1682398102127,3326,background_block,media/padded_stims/inanimate_002_left.png,null,inanimate_single_left,null,null,4,2,8,inanimate,single,left,background
SS1682398102127,3909,background_block,media/padded_stims/inanimate_002_left.png,null,inanimate_single_left,null,null,4,3,8,inanimate,single,left,background
SS1682398102127,4550,background_block,media/padded_stims/inanimate_002_left.png,null,inanimate_single_left,null,null,4,4,8,inanimate,single,left,background
SS1682398102127,3799,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_003_right.png,animate_pair_right,animate_pair_right,identity,6,1,9,animate,pair,right,background
SS1682398102127,3156,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_003_right.png,animate_pair_right,animate_pair_right,identity,6,2,9,animate,pair,right,background
SS1682398102127,2650,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_003_right.png,animate_pair_right,animate_pair_right,identity,6,3,9,animate,pair,right,background
SS1682398102127,3803,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_003_right.png,animate_pair_right,animate_pair_right,identity,6,4,9,animate,pair,right,background
SS1682398102127,3417,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_003_right.png,animate_pair_right,animate_pair_right,identity,6,5,9,animate,pair,right,background
SS1682398102127,2548,deviant_block,media/padded_stims/animate_010_right.png,media/padded_stims/animate_003_right.png,animate_pair_right,animate_pair_right,identity,6,6,9,animate,pair,right,deviant
SS1682398102127,2457,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_pair_right,animate_pair_right,animacy,6,1,10,inanimate,pair,right,background
SS1682398102127,3745,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_pair_right,animate_pair_right,animacy,6,2,10,inanimate,pair,right,background
SS1682398102127,4389,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_pair_right,animate_pair_right,animacy,6,3,10,inanimate,pair,right,background
SS1682398102127,4400,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_pair_right,animate_pair_right,animacy,6,4,10,inanimate,pair,right,background
SS1682398102127,4355,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_pair_right,animate_pair_right,animacy,6,5,10,inanimate,pair,right,background
