stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
175,13,12,12,11,10,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,11,BBBBBB
6,0,0,0,0,0,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,1,BBBBBB
14,13,114,0,0,0,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,2,BDBBBB
31,0,0,0,0,0,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,3,BBBBBB
30,20,72,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,2,BDBBBB
28,6,4,3,3,2,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,12,BBBBBB
32,5,1,0,0,0,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,13,BBBBBB
60,8,4,3,3,3,1.752658931726604,3.6570630679073193,-1.0,1.0,10.0,1.0,0.001,1e-05,3,BBBBBB
69,56,6,4,3,3,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,14,BBBBBB
247,262,7,6,3,3,2.524510947382109,1.898190003720358,-1.0,1.0,35.0,10.0,0.0001,1e-06,1,BBBBBB
14,0,2,1,1,1,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,3,BDBBBB
53,4,2,1,1,1,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,2,BBBBBB
19,0,32,3,2,1,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,3,BDBBBB
78,8,6,6,5,5,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,15,BBBBBB
24,108,12,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,3,BDBBBB
47,10,8,8,7,7,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,4,BBBBBB
14,57,1,14,9,11,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,4,BDBBBB
59,39,1,1,0,0,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,4,BDBBBB
24,42,0,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,4,BDBBBB
21,2,1,1,0,0,2.527736259373384,1.579986395648887,-1.0,1.0,10.0,1.0,0.0001,1e-06,0,BBBBBB
225,8,1,1,0,0,-0.4121699351794485,-0.7063147957472401,-1.0,1.0,35.0,10.0,0.0001,1e-05,2,BBBBBB
49,4,2,1,0,0,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,16,BBBBBB
16,4,4,3,3,2,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,5,BDBBBB
20,0,0,0,0,0,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,5,BBBBBB
33,4,3,2,2,1,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,3,BBBBBB
18,0,0,0,0,0,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,5,BDBBBB
292,181,31,4,3,3,2.996618881400051,-1.8032578941548507,-1.0,1.0,10.0,1.0,0.001,1e-06,0,BBBBBB
26,0,0,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,5,BDBBBB
9,1,1,1,1,2,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,17,BBBBBB
14,30,0,0,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,6,BDBBBB
104,34,10,0,0,0,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,18,BBBBBB
54,2,6,5,5,4,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,6,BDBBBB
20,5,0,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,6,BDBBBB
56,3,2,2,2,2,2.524510947382109,1.898190003720358,-1.0,1.0,35.0,10.0,0.0001,1e-06,2,BBBBBB
58,9,7,6,6,5,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,19,BBBBBB
8,1,1,0,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,7,BDBBBB
53,15,2,3,3,3,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,7,BDBBBB
12,1,0,0,0,0,-2.3014995051388296,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.0001,4,BBBBBB
