,stim_squence,violation_type,stimulus_id,b_val,d_val,batch_id,j_i,EIG,Look_away,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,weig,n_sample
78,BBBBBB,animacy,1,0.53,-1.25,1435.4417910447762,9.501492537313434,9.650746268656716,9.650746268656716,9.650746268656716,9.650746268656716,9.650746268656716,9.650746268656716,9.650746268656716,9.650746268656716,9.650746268656716
79,BBBBBB,animacy,1,0.625,-1.08,1285.0530726256984,9.519553072625698,9.139664804469273,9.139664804469273,9.139664804469273,9.139664804469273,9.139664804469273,9.139664804469273,9.139664804469273,9.139664804469273,9.139664804469273
80,BBBBBB,animacy,2,-1.84,0.631,1183.720238095238,9.508928571428571,7.425595238095238,7.425595238095238,7.425595238095238,7.425595238095238,7.425595238095238,7.425595238095238,7.425595238095238,7.425595238095238,7.425595238095238
81,BBBBBB,animacy,2,-1.58,1.22,1732.812274368231,9.483754512635379,6.693140794223827,6.693140794223827,6.693140794223827,6.693140794223827,6.693140794223827,6.693140794223827,6.693140794223827,6.693140794223827,6.693140794223827
82,BBBBBB,animacy,2,-1.25,1.03,1282.240356083086,9.465875370919882,7.204747774480712,7.204747774480712,7.204747774480712,7.204747774480712,7.204747774480712,7.204747774480712,7.204747774480712,7.204747774480712,7.204747774480712
83,BBBBBB,animacy,2,-0.975,0.631,1330.4497206703911,9.502793296089385,6.706703910614525,6.706703910614525,6.706703910614525,6.706703910614525,6.706703910614525,6.706703910614525,6.706703910614525,6.706703910614525,6.706703910614525
84,BBBBBB,animacy,2,-0.907,0.212,1291.71608040201,9.489949748743719,7.540201005025126,7.540201005025126,7.540201005025126,7.540201005025126,7.540201005025126,7.540201005025126,7.540201005025126,7.540201005025126,7.540201005025126
85,BBBBBB,animacy,2,-0.58,0.804,1296.0315457413249,9.49211356466877,6.684542586750789,6.684542586750789,6.684542586750789,6.684542586750789,6.684542586750789,6.684542586750789,6.684542586750789,6.684542586750789,6.684542586750789
86,BBBBBB,animacy,2,-0.355,1.32,1330.9802259887006,9.525423728813559,7.378531073446328,7.378531073446328,7.378531073446328,7.378531073446328,7.378531073446328,7.378531073446328,7.378531073446328,7.378531073446328,7.378531073446328
87,BBBBBB,animacy,2,0.332,-0.658,1244.826815642458,9.452513966480447,6.656424581005586,6.656424581005586,6.656424581005586,6.656424581005586,6.656424581005586,6.656424581005586,6.656424581005586,6.656424581005586,6.656424581005586
88,BBBBBB,animacy,2,0.53,-1.25,1435.4417910447762,9.501492537313434,7.214925373134329,7.214925373134329,7.214925373134329,7.214925373134329,7.214925373134329,7.214925373134329,7.214925373134329,7.214925373134329,7.214925373134329
89,BBBBBB,animacy,2,0.625,-1.08,1285.0530726256984,9.519553072625698,6.9748603351955305,6.9748603351955305,6.9748603351955305,6.9748603351955305,6.9748603351955305,6.9748603351955305,6.9748603351955305,6.9748603351955305,6.9748603351955305
90,BBBBBB,animacy,3,-1.84,0.631,1187.5331325301204,9.52710843373494,5.6897590361445785,5.6897590361445785,5.6897590361445785,5.6897590361445785,5.6897590361445785,5.6897590361445785,5.6897590361445785,5.6897590361445785,5.6897590361445785
91,BBBBBB,animacy,3,-1.58,1.22,1729.5942028985507,9.48913043478261,6.028985507246377,6.028985507246377,6.028985507246377,6.028985507246377,6.028985507246377,6.028985507246377,6.028985507246377,6.028985507246377,6.028985507246377
92,BBBBBB,animacy,3,-1.25,1.03,1282.240356083086,9.465875370919882,6.445103857566766,6.445103857566766,6.445103857566766,6.445103857566766,6.445103857566766,6.445103857566766,6.445103857566766,6.445103857566766,6.445103857566766
93,BBBBBB,animacy,3,-0.975,0.631,1330.4497206703911,9.502793296089385,5.9972067039106145,5.9972067039106145,5.9972067039106145,5.9972067039106145,5.9972067039106145,5.9972067039106145,5.9972067039106145,5.9972067039106145,5.9972067039106145
94,BBBBBB,animacy,3,-0.907,0.212,1290.8841309823677,9.4911838790932,6.579345088161209,6.579345088161209,6.579345088161209,6.579345088161209,6.579345088161209,6.579345088161209,6.579345088161209,6.579345088161209,6.579345088161209
95,BBBBBB,animacy,3,-0.58,0.804,1296.0315457413249,9.49211356466877,6.012618296529968,6.012618296529968,6.012618296529968,6.012618296529968,6.012618296529968,6.012618296529968,6.012618296529968,6.012618296529968,6.012618296529968
96,BBBBBB,animacy,3,-0.355,1.32,1330.9802259887006,9.525423728813559,6.584745762711864,6.584745762711864,6.584745762711864,6.584745762711864,6.584745762711864,6.584745762711864,6.584745762711864,6.584745762711864,6.584745762711864
97,BBBBBB,animacy,3,0.332,-0.658,1245.0896358543419,9.46218487394958,5.722689075630252,5.722689075630252,5.722689075630252,5.722689075630252,5.722689075630252,5.722689075630252,5.722689075630252,5.722689075630252,5.722689075630252
98,BBBBBB,animacy,3,0.53,-1.25,1434.302395209581,9.491017964071856,6.458083832335329,6.458083832335329,6.458083832335329,6.458083832335329,6.458083832335329,6.458083832335329,6.458083832335329,6.458083832335329,6.458083832335329
99,BBBBBB,animacy,3,0.625,-1.08,1285.0530726256984,9.519553072625698,6.022346368715084,6.022346368715084,6.022346368715084,6.022346368715084,6.022346368715084,6.022346368715084,6.022346368715084,6.022346368715084,6.022346368715084
100,BBBBBB,animacy,4,-1.84,0.631,1187.5331325301204,9.52710843373494,5.2620481927710845,5.2620481927710845,5.2620481927710845,5.2620481927710845,5.2620481927710845,5.2620481927710845,5.2620481927710845,5.2620481927710845,5.2620481927710845
101,BBBBBB,animacy,4,-1.58,1.22,1729.5942028985507,9.48913043478261,5.688405797101449,5.688405797101449,5.688405797101449,5.688405797101449,5.688405797101449,5.688405797101449,5.688405797101449,5.688405797101449,5.688405797101449
102,BBBBBB,animacy,4,-1.25,1.03,1285.5535714285713,9.479166666666666,5.863095238095238,5.863095238095238,5.863095238095238,5.863095238095238,5.863095238095238,5.863095238095238,5.863095238095238,5.863095238095238,5.863095238095238
103,BBBBBB,animacy,4,-0.975,0.631,1330.4497206703911,9.502793296089385,5.494413407821229,5.494413407821229,5.494413407821229,5.494413407821229,5.494413407821229,5.494413407821229,5.494413407821229,5.494413407821229,5.494413407821229
104,BBBBBB,animacy,4,-0.907,0.212,1289.9292929292928,9.505050505050505,5.886363636363637,5.886363636363637,5.886363636363637,5.886363636363637,5.886363636363637,5.886363636363637,5.886363636363637,5.886363636363637,5.886363636363637
105,BBBBBB,animacy,4,-0.58,0.804,1296.0315457413249,9.49211356466877,5.659305993690852,5.659305993690852,5.659305993690852,5.659305993690852,5.659305993690852,5.659305993690852,5.659305993690852,5.659305993690852,5.659305993690852
106,BBBBBB,animacy,4,-0.355,1.32,1330.9802259887006,9.525423728813559,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333
107,BBBBBB,animacy,4,0.332,-0.658,1245.0896358543419,9.46218487394958,5.34453781512605,5.34453781512605,5.34453781512605,5.34453781512605,5.34453781512605,5.34453781512605,5.34453781512605,5.34453781512605,5.34453781512605
108,BBBBBB,animacy,4,0.53,-1.25,1434.302395209581,9.491017964071856,5.874251497005988,5.874251497005988,5.874251497005988,5.874251497005988,5.874251497005988,5.874251497005988,5.874251497005988,5.874251497005988,5.874251497005988
109,BBBBBB,animacy,4,0.625,-1.08,1285.0530726256984,9.519553072625698,5.5307262569832405,5.5307262569832405,5.5307262569832405,5.5307262569832405,5.5307262569832405,5.5307262569832405,5.5307262569832405,5.5307262569832405,5.5307262569832405
110,BBBBBB,animacy,5,-1.84,0.631,1187.5331325301204,9.52710843373494,4.936746987951807,4.936746987951807,4.936746987951807,4.936746987951807,4.936746987951807,4.936746987951807,4.936746987951807,4.936746987951807,4.936746987951807
111,BBBBBB,animacy,5,-1.58,1.22,1729.5942028985507,9.48913043478261,5.38768115942029,5.38768115942029,5.38768115942029,5.38768115942029,5.38768115942029,5.38768115942029,5.38768115942029,5.38768115942029,5.38768115942029
112,BBBBBB,animacy,5,-1.25,1.03,1284.188622754491,9.467065868263473,5.2844311377245505,5.2844311377245505,5.2844311377245505,5.2844311377245505,5.2844311377245505,5.2844311377245505,5.2844311377245505,5.2844311377245505,5.2844311377245505
113,BBBBBB,animacy,5,-0.975,0.631,1328.564606741573,9.51685393258427,5.176966292134831,5.176966292134831,5.176966292134831,5.176966292134831,5.176966292134831,5.176966292134831,5.176966292134831,5.176966292134831,5.176966292134831
